"Area","Sex","1997","Change_9717","Perc_change_9717","Direction_9717","2002","2007","Change_0717","Perc_change_0717","Direction_0717","2012","Change_1217","Perc_change_1217","Direction_1217","2017"
"Kent","Both",10.4617069,1.23720195000001,11.8260047029229,"Increase",10.82779275,11.30675363,0.392155220000006,3.4683272744133,"Increase",11.64750963,0.0513992200000075,0.441289353971605,"Increase",11.69890885
"Kent","Female",11.5043061,1.26149511999999,10.9654168537813,"Increase",11.89932696,12.32519115,0.440610069999991,3.57487413085671,"Increase",12.60491217,0.160889050000009,1.27639961175556,"Increase",12.76580122
"Kent","Male",9.36031926,1.26518012000001,13.5164205926883,"Increase",9.69404166999999,10.22892105,0.396578330000011,3.87702992389419,"Increase",10.64497574,-0.0194763599999845,-0.182962934587059,"Decrease",10.62549938
"North Yorkshire","Both",10.63625676,1.28192475,12.0524050793975,"Increase",10.9949607,11.50355032,0.414631189999994,3.60437585324523,"Increase",11.83634601,0.0818354999999968,0.691391582595319,"Increase",11.91818151
"North Yorkshire","Female",11.65423171,1.30238593999999,11.1752192028452,"Increase",12.02364404,12.5645333,0.392084350000005,3.12056437464338,"Increase",12.81204001,0.144577639999994,1.12845136205592,"Increase",12.95661765
"North Yorkshire","Male",9.56664133000001,1.32992773999999,13.9017205111419,"Increase",9.92157509,10.40613582,0.490433249999995,4.71292378346062,"Increase",10.83882332,0.0577457499999952,0.532767702684493,"Increase",10.89656907
"Northamptonshire","Both",10.44732666,1.38765797000001,13.2824215721422,"Increase",10.84003787,11.29012236,0.54486227000001,4.82600854646548,"Increase",11.71017804,0.124806590000006,1.06579583652518,"Increase",11.83498463
"Northamptonshire","Female",11.63736724,1.25987909999999,10.8261522904384,"Increase",11.99170682,12.45026857,0.44697776999999,3.5901054462152,"Increase",12.79759634,0.0996499999999969,0.778661846744862,"Increase",12.89724634
"Northamptonshire","Male",9.24301138,1.52293677,16.4766298275401,"Increase",9.66238279,10.10778241,0.658165740000001,6.51147515155108,"Increase",10.59618491,0.169763239999995,1.60211662444455,"Increase",10.76594815
"Oxfordshire","Both",10.56764362,1.46217857000001,13.8363728242381,"Increase",10.95718572,11.45274462,0.57707757,5.03877095968983,"Increase",11.81457349,0.215248700000004,1.82189141387281,"Increase",12.02982219
"Oxfordshire","Female",11.59122982,1.37906612999998,11.8974962227087,"Increase",12.0313244,12.44578872,0.524507229999998,4.21433499957404,"Increase",12.7467785,0.223517449999989,1.75352109554574,"Increase",12.97029595
"Oxfordshire","Male",9.50970964,1.57279052000001,16.5387859307975,"Increase",9.85030187,10.42090588,0.661594280000017,6.3487213839035,"Increase",10.85465872,0.227841440000006,2.0990198391056,"Increase",11.08250016
"Somerset","Both",10.67676857,1.18769619,11.124116648339,"Increase",10.99639008,11.46876435,0.395700410000003,3.45024448950338,"Increase",11.82047105,0.0439937100000094,0.372182375930014,"Increase",11.86446476
"Somerset","Female",11.73740469,1.19319889000001,10.1657812907872,"Increase",12.00188879,12.49534265,0.435260930000013,3.48338530756508,"Increase",12.84060508,0.0899985000000072,0.700889868034219,"Increase",12.93060358
"Somerset","Male",9.56408752,1.20533368,12.6027044135622,"Increase",9.9349579,10.39631697,0.373104229999996,3.58881160584695,"Increase",10.75228075,0.0171404499999994,0.159412225169059,"Increase",10.7694212
"South East England","Both",10.56439735,1.36125284999999,12.8852863528461,"Increase",10.95250911,11.44043148,0.485218719999992,4.24126241084739,"Increase",11.79571965,0.129930549999983,1.10150591786897,"Increase",11.9256502
"South East England","Female",11.60196283,1.31308869,11.317815004584,"Increase",11.99542232,12.45512509,0.45992643000001,3.69266809186266,"Increase",12.75772278,0.157328739999997,1.2332039401784,"Increase",12.91505152
"South East England","Male",9.47400994,1.44650252,15.2681127543761,"Increase",9.85682322,10.37714304,0.543369420000005,5.2362140321813,"Increase",10.79557894,0.124933519999999,1.15726558709226,"Increase",10.92051246
"Staffordshire","Both",10.43789033,1.18803299999999,11.3819264471999,"Increase",10.73261041,11.19371268,0.432210649999988,3.86119120934938,"Increase",11.69763409,-0.071710760000002,-0.61303644350874,"Decrease",11.62592333
"Staffordshire","Female",11.54878862,1.18346138000001,10.2474936457882,"Increase",11.87075759,12.31666002,0.415589980000007,3.37421004822058,"Increase",12.75374495,-0.0214949499999904,-0.168538339791642,"Decrease",12.73225
"Staffordshire","Male",9.28914424,1.25446840000001,13.5046713409631,"Increase",9.56308548,10.03574157,0.507871070000007,5.06062323802951,"Increase",10.61028634,-0.0666736999999813,-0.628387376772542,"Decrease",10.54361264
"Suffolk","Both",10.66329371,1.27461218999998,11.9532690804967,"Increase",11.00159967,11.49530299,0.442602909999991,3.85029355368032,"Increase",11.85301951,0.0848863899999941,0.716158358875376,"Increase",11.9379059
