"measure","Area","Sex","age","Year","val","upper","lower"
"HALE (Healthy life expectancy)","Kent","Female","<1 year",2017,70.47390552,73.58402729,66.899457
"HALE (Healthy life expectancy)","Kent","Both","<1 year",2017,69.61081601,72.47604899,66.2795929
"HALE (Healthy life expectancy)","East Sussex","Male","<1 year",2017,68.87420701,71.7286635,65.75495327
"HALE (Healthy life expectancy)","East Sussex","Female","<1 year",2017,70.44564369,73.72904954,66.73246623
"HALE (Healthy life expectancy)","East Sussex","Both","<1 year",2017,69.68222595,72.71406641,66.40338265
"HALE (Healthy life expectancy)","Devon","Male","<1 year",2017,68.78546281,71.49229305,65.59278819
"HALE (Healthy life expectancy)","Devon","Female","<1 year",2017,70.4244794,73.67513602,66.82838513
"HALE (Healthy life expectancy)","Devon","Both","<1 year",2017,69.61800008,72.50091734,66.21439577
"HALE (Healthy life expectancy)","Gloucestershire","Male","<1 year",2017,69.46017365,72.19036721,66.47445133
"HALE (Healthy life expectancy)","Gloucestershire","Female","<1 year",2017,70.2466794,73.41663541,66.71547141
"HALE (Healthy life expectancy)","Gloucestershire","Both","<1 year",2017,69.87046553,72.75902485,66.58371758
"HALE (Healthy life expectancy)","Somerset","Male","<1 year",2017,69.21496956,71.96094018,66.0192349
"HALE (Healthy life expectancy)","Somerset","Female","<1 year",2017,70.66888592,73.86535772,66.98218364
"HALE (Healthy life expectancy)","Somerset","Both","<1 year",2017,69.95924139,72.89298064,66.53065863
"HALE (Healthy life expectancy)","Hampshire","Male","<1 year",1998,67.23963946,69.6123247,64.44183085
"HALE (Healthy life expectancy)","Hampshire","Female","<1 year",1998,69.45202199,72.3747024,66.14840423
"HALE (Healthy life expectancy)","Hampshire","Both","<1 year",1998,68.4041694,71.03320407,65.36668337
"HALE (Healthy life expectancy)","West Sussex","Male","<1 year",1998,67.2340803,69.63747128,64.37968368
"HALE (Healthy life expectancy)","West Sussex","Female","<1 year",1998,69.61202213,72.51210225,66.27745907
"HALE (Healthy life expectancy)","West Sussex","Both","<1 year",1998,68.50614646,71.18652568,65.37027596
"HALE (Healthy life expectancy)","Oxfordshire","Male","<1 year",1998,67.2974574,69.68785321,64.55677956
"HALE (Healthy life expectancy)","Oxfordshire","Female","<1 year",1998,69.38933511,72.27295129,66.09894161
"HALE (Healthy life expectancy)","Oxfordshire","Both","<1 year",1998,68.39746188,71.01380336,65.39962725
"HALE (Healthy life expectancy)","Kent","Male","<1 year",1998,66.36230484,68.69625951,63.5780355
"HALE (Healthy life expectancy)","Kent","Female","<1 year",1998,68.92331376,71.8152704,65.58116286
"HALE (Healthy life expectancy)","Kent","Both","<1 year",1998,67.6931003,70.30542792,64.64136075
"HALE (Healthy life expectancy)","East Sussex","Male","<1 year",1998,67.07072046,69.4566859,64.18784162
"HALE (Healthy life expectancy)","East Sussex","Female","<1 year",1998,69.6323306,72.53393281,66.2475379
"HALE (Healthy life expectancy)","East Sussex","Both","<1 year",1998,68.43832971,71.08125358,65.27434311
"HALE (Healthy life expectancy)","Devon","Male","<1 year",1998,67.28733636,69.62688724,64.53450789
"HALE (Healthy life expectancy)","Devon","Female","<1 year",1998,69.7088143,72.6392453,66.26257372
"HALE (Healthy life expectancy)","Devon","Both","<1 year",1998,68.55416957,71.2001596,65.41034694
"HALE (Healthy life expectancy)","Gloucestershire","Male","<1 year",1998,66.97124482,69.34640894,64.19276436
"HALE (Healthy life expectancy)","Gloucestershire","Female","<1 year",1998,69.51410413,72.54633843,66.15050786
"HALE (Healthy life expectancy)","Gloucestershire","Both","<1 year",1998,68.29971543,70.99226621,65.21866484
"HALE (Healthy life expectancy)","Somerset","Male","<1 year",1998,67.07405843,69.51029959,64.22953405
"HALE (Healthy life expectancy)","Somerset","Female","<1 year",1998,69.53852929,72.42082173,66.24930341
"HALE (Healthy life expectancy)","Somerset","Both","<1 year",1998,68.35576379,71.01760179,65.31202764
"HALE (Healthy life expectancy)","England","Male","<1 year",2002,66.5913235,68.95310707,63.79244356
"HALE (Healthy life expectancy)","England","Female","<1 year",2002,68.88439294,71.77809542,65.51300585
"HALE (Healthy life expectancy)","England","Both","<1 year",2002,67.77383817,70.39249537,64.70254761
"HALE (Healthy life expectancy)","South East England","Male","<1 year",1999,67.04696416,69.42153829,64.19974368
"HALE (Healthy life expectancy)","South East England","Female","<1 year",1999,69.34146793,72.20574978,66.0539051
"HALE (Healthy life expectancy)","South East England","Both","<1 year",1999,68.25255461,70.88258175,65.14088261
"HALE (Healthy life expectancy)","England","Male","<1 year",1999,65.97016838,68.30389925,63.22427668
"HALE (Healthy life expectancy)","England","Female","<1 year",1999,68.53728745,71.3930935,65.24365337
"HALE (Healthy life expectancy)","England","Both","<1 year",1999,67.29194992,69.86225194,64.25350125
"HALE (Healthy life expectancy)","North Yorkshire","Male","<1 year",2004,67.85378409,70.38147506,64.86552771
"HALE (Healthy life expectancy)","North Yorkshire","Female","<1 year",2004,69.91273404,73.00101982,66.37749961
"HALE (Healthy life expectancy)","North Yorkshire","Both","<1 year",2004,68.92523436,71.68821614,65.6013162
"HALE (Healthy life expectancy)","Northamptonshire","Male","<1 year",2004,67.20791291,69.66273071,64.36386076
"HALE (Healthy life expectancy)","Northamptonshire","Female","<1 year",2004,69.15089832,72.17740809,65.7710254
"HALE (Healthy life expectancy)","Northamptonshire","Both","<1 year",2004,68.1989495,70.88987354,65.10048671
"HALE (Healthy life expectancy)","Warwickshire","Male","<1 year",2004,67.4988385,69.96580607,64.67282944
"HALE (Healthy life expectancy)","Warwickshire","Female","<1 year",2004,69.46982947,72.48932596,65.94355805
"HALE (Healthy life expectancy)","Warwickshire","Both","<1 year",2004,68.52002211,71.28954107,65.33333337
"HALE (Healthy life expectancy)","Worcestershire","Male","<1 year",2004,67.91320921,70.34785708,64.9432876
"HALE (Healthy life expectancy)","Worcestershire","Female","<1 year",2004,69.30100568,72.31715895,65.78116628
"HALE (Healthy life expectancy)","Worcestershire","Both","<1 year",2004,68.63340574,71.3485787,65.39107256
"HALE (Healthy life expectancy)","Staffordshire","Male","<1 year",2004,67.3186148,69.70508743,64.49658018
"HALE (Healthy life expectancy)","Staffordshire","Female","<1 year",2004,69.09462543,72.08371388,65.65725569
"HALE (Healthy life expectancy)","Staffordshire","Both","<1 year",2004,68.23553184,70.90083621,65.15049534
"HALE (Healthy life expectancy)","Suffolk","Male","<1 year",2004,68.49559379,71.01115761,65.53130296
"HALE (Healthy life expectancy)","Suffolk","Female","<1 year",2004,69.90563544,72.91705405,66.4019225
"HALE (Healthy life expectancy)","Suffolk","Both","<1 year",2004,69.2359014,72.0296638,65.9973619
"HALE (Healthy life expectancy)","Essex","Male","<1 year",2004,68.24524505,70.72999208,65.30266942
"HALE (Healthy life expectancy)","Essex","Female","<1 year",2004,69.79099583,72.7670149,66.29036349
"HALE (Healthy life expectancy)","Essex","Both","<1 year",2004,69.06713723,71.7737102,65.87839684
"HALE (Healthy life expectancy)","Cambridgeshire","Male","<1 year",2004,68.0771237,70.60358108,65.05730991
"HALE (Healthy life expectancy)","Cambridgeshire","Female","<1 year",2004,70.22876032,73.27912617,66.64356377
"HALE (Healthy life expectancy)","Cambridgeshire","Both","<1 year",2004,69.17929309,71.90440394,65.92656038
"HALE (Healthy life expectancy)","Hampshire","Male","<1 year",2005,69.10017675,71.71714052,66.0941798
"HALE (Healthy life expectancy)","Hampshire","Female","<1 year",2005,70.36111187,73.4888689,66.90920026
"HALE (Healthy life expectancy)","Hampshire","Both","<1 year",2005,69.78551962,72.61191216,66.53222273
"HALE (Healthy life expectancy)","West Sussex","Male","<1 year",2005,68.69991091,71.21081263,65.72697746
"HALE (Healthy life expectancy)","West Sussex","Female","<1 year",2005,70.12182714,73.16774987,66.66000991
"HALE (Healthy life expectancy)","West Sussex","Both","<1 year",2005,69.47584082,72.23133568,66.28864125
"HALE (Healthy life expectancy)","Oxfordshire","Male","<1 year",2005,68.73242009,71.30469251,65.71608494
"HALE (Healthy life expectancy)","Oxfordshire","Female","<1 year",2005,70.36424539,73.42278313,66.80832512
"HALE (Healthy life expectancy)","Oxfordshire","Both","<1 year",2005,69.59787426,72.45077842,66.31509835
"HALE (Healthy life expectancy)","Kent","Male","<1 year",2005,68.1311256,70.62674805,65.17424015
"HALE (Healthy life expectancy)","Kent","Female","<1 year",2005,69.87838248,72.8995059,66.44068607
"HALE (Healthy life expectancy)","Kent","Both","<1 year",2005,69.05060495,71.83502395,65.84604177
"HALE (Healthy life expectancy)","East Sussex","Male","<1 year",2005,68.3225067,70.85149393,65.34638878
"HALE (Healthy life expectancy)","East Sussex","Female","<1 year",2005,70.30641699,73.38267376,66.82204674
"HALE (Healthy life expectancy)","East Sussex","Both","<1 year",2005,69.37970465,72.1790666,66.20371687
